,PanjivaRecordID,label,baseID,expl_1,expl_2,original_score,cur_score
0,125772810001,-1,125772810,-1,-1,1,1
1,124906323001,-1,124906323,-1,-1,1,1
2,126559886001,-1,126559886,-1,-1,1,1
3,125122924001,-1,125122924,-1,-1,1,1
4,126726763001,-1,126726763,-1,-1,1,1
5,126023227001,1,126023227,-1,-1,1,1
6,123751576001,-1,123751576,-1,-1,1,1
7,122350641005,1,122350641,-1,-1,1,1
8,123129956001,-1,123129956,-1,-1,1,1
9,122378064004,1,122378064,-1,-1,1,1
10,124836983001,-1,124836983,-1,-1,1,1
11,121994073001,-1,121994073,-1,-1,1,1
12,124881267001,-1,124881267,-1,-1,1,1
13,122533966001,-1,122533966,-1,-1,1,1
14,124358839001,-1,124358839,-1,-1,1,1
15,125563567001,-1,125563567,-1,-1,1,1
16,124656069001,-1,124656069,-1,-1,1,1
17,122311098001,-1,122311098,-1,-1,1,1
18,124900378001,-1,124900378,-1,-1,1,1
19,122378064006,1,122378064,-1,-1,1,1
20,122501680001,-1,122501680,-1,-1,1,1
21,122092499001,-1,122092499,-1,-1,1,1
22,124306044001,-1,124306044,-1,-1,1,1
23,124566330001,-1,124566330,-1,-1,1,1
24,126056881001,-1,126056881,-1,-1,1,1
25,125215432001,-1,125215432,-1,-1,1,1
26,126630856001,-1,126630856,-1,-1,1,1
27,123606533001,-1,123606533,-1,-1,1,1
28,125115674001,-1,125115674,-1,-1,1,1
29,125575347001,-1,125575347,-1,-1,1,1
30,122838307001,-1,122838307,-1,-1,1,1
31,125380933001,-1,125380933,-1,-1,1,1
32,123599611001,-1,123599611,-1,-1,1,1
33,122459946001,-1,122459946,-1,-1,1,1
34,126207589001,1,126207589,-1,-1,1,1
35,122504136006,1,122504136,-1,-1,1,1
36,125124411001,-1,125124411,-1,-1,1,1
37,122053865001,-1,122053865,-1,-1,1,1
38,126425823001,-1,126425823,-1,-1,1,1
39,122474212001,1,122474212,-1,-1,1,1
40,124161560001,-1,124161560,-1,-1,1,1
41,126298851001,-1,126298851,-1,-1,1,1
42,126470994001,-1,126470994,-1,-1,1,1
43,122471291001,-1,122471291,-1,-1,1,1
44,126028851001,-1,126028851,-1,-1,1,1
45,123769834001,-1,123769834,-1,-1,1,1
46,123057917001,-1,123057917,-1,-1,1,1
47,122844894001,-1,122844894,-1,-1,1,1
